System_Epoch,Decive,Category,E4_Epoch,Value,
1.66616E+12,E4,Bvp,1666158166,-0.3616562,
1.66616E+12,E4,Bvp,1666158166,0.08490753,
1.66616E+12,E4,Bvp,1666158167,0.6008606,
1.66616E+12,E4,Bvp,1666158166,0.4161072,
1.66616E+12,E4,Bvp,1666158167,0.6809082,
1.66616E+12,E4,Bvp,1666158167,0.7458038,
1.66616E+12,E4,Bvp,1666158167,0.7221909,
1.66616E+12,E4,Bvp,1666158167,0.3306503,
1.66616E+12,E4,Bvp,1666158167,0.3651581,
1.66616E+12,E4,Gsr,1666158166,0,
1.66616E+12,E4,Gsr,1666158166,0,
1.66616E+12,E4,Gsr,1666158166,0,
1.66616E+12,E4,Gsr,1666158166,0,
1.66616E+12,E4,Gsr,1666158167,0,
1.66616E+12,E4,Gsr,1666158167,0,
1.66616E+12,E4,Bvp,1666158167,0.07524872,
1.66616E+12,E4,Bvp,1666158167,0.2269745,
1.66616E+12,E4,Bvp,1666158167,0.3535995,
1.66616E+12,E4,Bvp,1666158167,0.4341278,
1.66616E+12,E4,Bvp,1666158167,0.4530945,
1.66616E+12,E4,Bvp,1666158167,0.4072189,
1.66616E+12,E4,Bvp,1666158167,0.3064499,
1.66616E+12,E4,Bvp,1666158167,0.1627731,
1.66616E+12,E4,Bvp,1666158167,0.008621216,
1.66616E+12,E4,Bvp,1666158167,-0.1159286,
1.66616E+12,E4,Bvp,1666158167,-0.1895905,
1.66616E+12,E4,Bvp,1666158167,-0.1846771,
1.66616E+12,E4,Bvp,1666158167,-0.103157,
1.66616E+12,E4,Bvp,1666158167,0.03218079,
1.66616E+12,E4,Bvp,1666158167,0.176712,
1.66616E+12,E4,Bvp,1666158167,0.2765198,
1.66616E+12,E4,Bvp,1666158167,0.2807846,
1.66616E+12,E4,Bvp,1666158167,0.1697998,
1.66616E+12,E4,Bvp,1666158167,-0.02339172,
1.66616E+12,E4,Bvp,1666158167,-0.2276993,
1.66616E+12,E4,Bvp,1666158167,-0.3596497,
1.66616E+12,E4,Bvp,1666158167,-0.3567505,
1.66616E+12,E4,Bvp,1666158167,-0.2055283,
1.66616E+12,E4,Bvp,1666158167,0.05539703,
1.66616E+12,E4,Bvp,1666158167,0.3367081,
1.66616E+12,E4,Bvp,1666158167,0.5437775,
1.66616E+12,E4,Bvp,1666158167,0.6028671,
1.66616E+12,E4,Bvp,1666158167,0.4832611,
1.66616E+12,E4,Bvp,1666158167,0.2105789,
1.66616E+12,E4,Bvp,1666158167,-0.1281586,
1.66616E+12,E4,Bvp,1666158167,-0.411293,
1.66616E+12,E4,Bvp,1666158167,-0.529129,
1.66616E+12,E4,Bvp,1666158167,-0.4378128,
1.66616E+12,E4,Bvp,1666158167,-0.1953964,
1.66616E+12,E4,Bvp,1666158167,0.06773376,
1.66616E+12,E4,Bvp,1666158167,0.2105408,
1.66616E+12,E4,Bvp,1666158167,0.1607513,
1.66616E+12,E4,Bvp,1666158167,-0.04501343,
1.66616E+12,E4,Bvp,1666158167,-0.2766724,
