1.66736E+12,,,,,,
System_Epoch,Category,E4_Epoch,Value,,,
R,device_connect,OK,,,,
1.66736E+12,R,device_subscribe,gsr,OK,,
1.66736E+12,E4_Bvp,1667364899,-13.16348,,,
1.66736E+12,E4_Bvp,1667364899,-14.79689,,,
1.66736E+12,E4_Bvp,1667364899,-14.62984,,,
1.66736E+12,E4_Bvp,1667364899,-13.16233,,,
1.66736E+12,E4_Bvp,1667364899,-11.24129,,,
1.66736E+12,E4_Bvp,1667364899,-9.787407,,,
1.66736E+12,E4_Bvp,1667364899,-9.497429,,,
1.66736E+12,E4_Bvp,1667364899,-10.56788,,,
1.66736E+12,E4_Bvp,1667364899,-12.5613,,,
1.66736E+12,E4_Bvp,1667364899,-14.57399,,,
1.66736E+12,E4_Bvp,1667364899,-15.5828,,,
1.66736E+12,R,device_subscribe,bvp,OK,,
1.66736E+12,E4_Bvp,1667364899,-14.80228,,,
1.66736E+12,E4_Bvp,1667364899,-11.95231,,,
1.66736E+12,E4_Bvp,1667364899,-7.282097,,,
1.66736E+12,E4_Bvp,1667364899,-1.400711,,,
1.66736E+12,E4_Bvp,1667364899,4.929657,,,
1.66736E+12,E4_Bvp,1667364899,11.01301,,,
1.66736E+12,E4_Bvp,1667364899,16.33168,,,
1.66736E+12,E4_Bvp,1667364899,23.55737,,,
1.66736E+12,E4_Bvp,1667364899,20.55798,,,
1.66736E+12,E4_Bvp,1667364899,25.39683,,,
1.66736E+12,E4_Bvp,1667364899,26.22649,,,
1.66736E+12,E4_Bvp,1667364899,26.25347,,,
1.66736E+12,E4_Bvp,1667364899,25.60496,,,
1.66736E+12,E4_Bvp,1667364899,24.37021,,,
1.66736E+12,E4_Bvp,1667364899,22.66091,,,
1.66736E+12,E4_Bvp,1667364900,20.73792,,,
1.66736E+12,E4_Bvp,1667364900,19.02435,,,
1.66736E+12,E4_Bvp,1667364900,18.01245,,,
1.66736E+12,E4_Bvp,1667364900,18.05349,,,
1.66736E+12,E4_Bvp,1667364900,19.13741,,,
1.66736E+12,E4_Bvp,1667364900,20.80857,,,
1.66736E+12,E4_Bvp,1667364900,22.35098,,,
1.66736E+12,E4_Bvp,1667364900,23.05856,,,
1.66736E+12,E4_Bvp,1667364900,22.55184,,,
